Character Name,Seed Number,Platform/Tool,Base Prompt,Negative Prompt,Reference Image Filename,Outfit/Variant,Pose/Scene,Date Created,Notes
Aria Stormrider,482917,Midjourney v6,"aria stormrider, silver hair, emerald eyes, sharp jawline, fantasy archer, detailed face, consistent character","blurry, extra limbs, deformed face, asymmetric eyes, low detail",aria_ref_01.png,Forest cloak,"Standing, full body, forest background",2026-01-05,Base reference shot - identity locked here
Aria Stormrider,482917,Midjourney v6,"aria stormrider, silver hair, emerald eyes, sharp jawline, wearing battle armor, fantasy archer, detailed face, consistent character","blurry, extra limbs, deformed face, asymmetric eyes, low detail",aria_ref_01.png,Battle armor,"Action pose, mid-fight, castle ruins",2026-01-06,Seed locked from base shot - face holds
Aria Stormrider,482917,Midjourney v6,"aria stormrider, silver hair, emerald eyes, sharp jawline, wearing travel cloak and hood down, fantasy archer, detailed face, consistent character","blurry, extra limbs, deformed face, asymmetric eyes, low detail",aria_ref_01.png,Travel cloak,"Sitting by campfire, night scene",2026-01-09,Minor drift in hair length - reviewed against reference
Aria Stormrider,482917,Midjourney v6,"aria stormrider, silver hair, emerald eyes, sharp jawline, formal gown, fantasy archer, detailed face, consistent character","blurry, extra limbs, deformed face, asymmetric eyes, low detail",aria_ref_01.png,Formal gown,"Standing, throne room, daylight",2026-01-14,Approved for social calendar Day 12 post
Kael Voss,119284,Stable Diffusion XL,"kael voss, shaved head, scarred left cheek, dark brown eyes, cybernetic arm, gritty sci-fi soldier, consistent character","blurry, extra fingers, deformed face, mismatched scars, low detail",kael_ref_01.png,Combat fatigues,"Standing, full body, urban ruins",2026-01-08,Base reference shot - identity locked here
Kael Voss,119284,Stable Diffusion XL,"kael voss, shaved head, scarred left cheek, dark brown eyes, cybernetic arm, wearing civilian jacket, gritty sci-fi soldier, consistent character","blurry, extra fingers, deformed face, mismatched scars, low detail",kael_ref_01.png,Civilian jacket,"Walking, neon-lit street, night",2026-01-10,Face and scar position holds across variant
Kael Voss,119284,Stable Diffusion XL,"kael voss, shaved head, scarred left cheek, dark brown eyes, cybernetic arm, heavy exo-suit, gritty sci-fi soldier, consistent character","blurry, extra fingers, deformed face, mismatched scars, low detail",kael_ref_01.png,Exo-suit,"Action pose, mid-battle, smoke and debris",2026-01-13,Flagged for re-check - cybernetic arm angle inconsistent
Kael Voss,119284,Stable Diffusion XL,"kael voss, shaved head, scarred left cheek, dark brown eyes, cybernetic arm, resting without armor, gritty sci-fi soldier, consistent character","blurry, extra fingers, deformed face, mismatched scars, low detail",kael_ref_01.png,No armor,"Sitting, medbay interior, soft light",2026-01-15,Approved - closest match to reference yet
Nadia Cross,750163,Midjourney v6,"nadia cross, curly auburn hair, freckles, round glasses, warm brown eyes, modern detective, consistent character","blurry, extra limbs, deformed face, asymmetric glasses, low detail",nadia_ref_01.png,Trench coat,"Standing, full body, rainy city street",2026-01-11,Base reference shot - identity locked here
Nadia Cross,750163,Midjourney v6,"nadia cross, curly auburn hair, freckles, round glasses, warm brown eyes, office blazer, modern detective, consistent character","blurry, extra limbs, deformed face, asymmetric glasses, low detail",nadia_ref_01.png,Office blazer,"Sitting at desk, office interior, daylight",2026-01-12,Freckle pattern consistent with reference
Nadia Cross,750163,Midjourney v6,"nadia cross, curly auburn hair, freckles, round glasses, warm brown eyes, casual hoodie, modern detective, consistent character","blurry, extra limbs, deformed face, asymmetric glasses, low detail",nadia_ref_01.png,Casual hoodie,"Walking, coffee shop interior, evening",2026-01-16,Approved for social calendar Day 18 post
Nadia Cross,750163,Midjourney v6,"nadia cross, curly auburn hair, freckles, round glasses, warm brown eyes, formal coat, modern detective, consistent character","blurry, extra limbs, deformed face, asymmetric glasses, low detail",nadia_ref_01.png,Formal coat,"Standing, courthouse steps, overcast",2026-01-19,Re-rolled twice before match - confirmed final seed as 750163
Theo Marsh,305928,Stable Diffusion XL,"theo marsh, sandy blonde hair, square jaw, light blue eyes, athletic build, casual streetwear, consistent character","blurry, extra fingers, deformed face, asymmetric jaw, low detail",theo_ref_01.png,Streetwear,"Standing, full body, skate park background",2026-01-07,Base reference shot - identity locked here
Theo Marsh,305928,Stable Diffusion XL,"theo marsh, sandy blonde hair, square jaw, light blue eyes, athletic build, gym tank top, consistent character","blurry, extra fingers, deformed face, asymmetric jaw, low detail",theo_ref_01.png,Gym tank top,"Action pose, mid-motion, gym interior",2026-01-09,Approved - jaw and eye color hold
Theo Marsh,305928,Stable Diffusion XL,"theo marsh, sandy blonde hair, square jaw, light blue eyes, athletic build, winter jacket, consistent character","blurry, extra fingers, deformed face, asymmetric jaw, low detail",theo_ref_01.png,Winter jacket,"Standing, snowy mountain trail, daylight",2026-01-17,Approved for social calendar Day 23 post
Theo Marsh,305928,Stable Diffusion XL,"theo marsh, sandy blonde hair, square jaw, light blue eyes, athletic build, formal suit, consistent character","blurry, extra fingers, deformed face, asymmetric jaw, low detail",theo_ref_01.png,Formal suit,"Standing, full body, rooftop at sunset",2026-01-20,Final variant for launch week assets
